,pays,Code_Zone,dispo_calories,dispo_proteines,ratio_proteines_animales,population,population_croissance,pib,ppa,pib_croissance,poulet_import-export,PC1,PC2,PC3,cluster,PAYS,LATITUDE,LONGITUDE,LAT,LON
0,Algérie,4,3322.0,91.83,0.26930197103343134,42.228407999999995,1.2158845016476532,11642.2,0.00027569592488544683,1.0782909909325826,0.07105263157894737,0.0466769698078851,-0.17589264797530954,-0.08924533468493846,0,ALGÉRIE,37N,3E,37.0,3.0
1,Azerbaïdjan,52,3149.0,94.42,0.34452446515568735,9.949537,1.127825916333187,14209.6,0.0014281669589248224,1.101246202492405,54.93968871595331,-0.03447486537692585,-0.08624502177380124,-0.04297425609508557,0,AZERBAÏDJAN,40N,47E,40.0,47.0
2,Iraq,103,2608.0,65.53,0.2223409125591332,38.4336,1.353975336776423,10346.2,0.0002691967445152159,1.241548966195865,176.56126820908312,0.16533108202381885,-0.104067476137921,-0.18007044124218208,0,IRAQ,31N,48E,31.0,48.0
3,Jordanie,112,2732.0,69.21,0.33550065019505854,9.965318000000002,1.5199193835470814,10013.4,0.001004824933835528,0.8585686235841857,4.723080842391305,-0.03655547721939676,-0.47247830615338626,-0.19914813561942293,0,JORDANIE,32N,36E,32.0,36.0
4,Kirghizistan,113,2729.0,84.41,0.4017296528847293,6.30403,1.1996299128883292,5133.2,0.0008142727747171254,1.239244845734151,1396.2105263157894,0.23638581154475424,-0.10603977614448085,0.16049816676760006,0,KIRGHIZISTAN,42N,74E,42.0,74.0
5,Koweït,118,3471.0,103.21,0.4938474953977328,4.137312,1.5577176131556782,50478.6,0.01220082024270831,0.6912698738753543,21.6409111897799,-0.31501101337242693,-0.5334289681090745,-0.19990716174423606,0,KOWEÏT,29N,48E,29.0,48.0
6,Liban,121,2857.0,69.15,0.32494577006507586,6.859408,1.4396182289866333,15588.2,0.002272528474760504,0.9153322646373188,2.381657989587505,-0.07675832832358061,-0.36471674588662806,-0.18607413804473583,0,LIBAN,34N,35E,34.0,35.0
7,Maroc,143,3412.0,101.08,0.27493074792243766,36.029093,1.1424456645283507,7446.9,0.00020669129805737823,1.2510121457489878,0.4177997527812114,0.22016015966471816,-0.05578860110602077,-0.0372886320806919,0,MAROC,33N,7W,33.0,-7.0
8,Oman,221,2940.0,85.36,0.49285379568884724,4.829473,1.755557235775254,28350.9,0.005870392069693733,0.8172737650477377,7.85822445561139,-0.1820907963794803,-0.5306574293119419,-0.3066622309205387,0,OMAN,23N,58E,23.0,58.0
9,Pakistan,165,2486.0,67.0,0.3953731343283582,212.22828600000003,1.2364086205554399,4739.5,2.2332084423468412e-05,1.2125825103617665,0.07088888888888889,0.20447865075491706,-0.12621469092512827,-0.040121948266308036,0,PAKISTAN,34N,73E,34.0,73.0
10,Tunisie,222,3450.0,99.82,0.28671608896012823,11.565201,1.1104974221832336,10763.7,0.0009306971837324747,1.1116309332011403,0.6938068427890862,0.05398933876972022,-0.11056318886816476,-0.03117568931303109,0,TUNISIE,37N,10E,37.0,10.0
11,Égypte,59,3292.0,97.52,0.27091878589007384,98.42359800000001,1.235917177690278,11366.3,0.00011548348395066798,1.1641624417473242,134.65944272445822,0.09935990366358989,-0.11736287685244162,-0.0998021852626234,0,ÉGYPTE,30N,32E,30.0,32.0
